s,R2_AB,R2_zeta,R2_GUE_theory
0.0100,0.016419,,0.000329
0.0300,0.060201,,0.002957
0.0500,0.083735,,0.008198
0.0700,0.119308,,0.016017
0.0900,0.143936,,0.026366
0.1100,0.180057,,0.039179
0.1300,0.222745,,0.054377
0.1500,0.244637,,0.071865
0.1700,0.273095,,0.091534
0.1900,0.315784,,0.113264
0.2100,0.340412,,0.136920
0.2300,0.363398,,0.162360
0.2500,0.368870,,0.189431
0.2700,0.388573,,0.217969
0.2900,0.446038,,0.247808
0.3100,0.451511,,0.278772
0.3300,0.469571,,0.310684
0.3500,0.515543,,0.343362
0.3700,0.585048,,0.376624
0.3900,0.560420,,0.410288
0.4100,0.591616,,0.444172
0.4300,0.605298,,0.478098
0.4500,0.626642,,0.511893
0.4700,0.652364,,0.545388
0.4900,0.712566,,0.578421
0.5100,0.674803,,0.610837
0.5300,0.722417,,0.642493
0.5500,0.736099,,0.673251
0.5700,0.748139,,0.702987
0.5900,0.771673,,0.731586
0.6100,0.747592,,0.758949
0.6300,0.753612,,0.784983
0.6500,0.765105,,0.809614
0.6700,0.779882,,0.832777
0.6900,0.797395,,0.854421
0.7100,0.798489,,0.874510
0.7300,0.855407,,0.893019
0.7500,0.820381,,0.909937
0.7700,0.853218,,0.925264
0.7900,0.855954,,0.939013
0.8100,0.863616,,0.951210
0.8300,0.894264,,0.961889
0.8500,0.876751,,0.971096
0.8700,0.847745,,0.978886
0.8900,0.843914,,0.985323
0.9100,0.871278,,0.990476
0.9300,0.904663,,0.994425
0.9500,0.884961,,0.997253
0.9700,0.883319,,0.999046
0.9900,0.904116,,0.999898
1.0100,0.937500,,0.999902
1.0300,0.923271,,0.999154
1.0500,0.918892,,0.997751
1.0700,0.988945,,0.995789
1.0900,0.882771,,0.993362
1.1100,0.961581,,0.990564
1.1300,0.922723,,0.987485
1.1500,0.912325,,0.984209
1.1700,0.932027,,0.980821
1.1900,0.963222,,0.977395
1.2100,0.914514,,0.974003
