idx,seed,n_spacings,D,p,d_GUE,d_Pois,plateau,band_dev,t_build_s,t_diag_s,flagged
1,20260976802863,4568,0.095430,1.558e-33,0.076247,0.214212,0.957312,0.097300,273.05,0.00,no
2,20260976802964,4568,0.101201,1.166e-37,0.081650,0.206881,0.941331,0.107735,310.07,0.00,no
3,20260976803065,4568,0.103371,2.838e-39,0.082948,0.213533,0.954685,0.107489,339.45,0.00,no
4,20260976803166,4568,0.098967,4.930e-36,0.079545,0.207182,0.952715,0.099185,348.47,0.00,no
5,20260976803267,4568,0.107324,2.661e-42,0.087816,0.208938,0.943301,0.116244,349.42,0.00,no
6,20260976803368,4568,0.102632,1.015e-38,0.083283,0.206195,0.954466,0.100665,353.46,0.00,no
7,20260976803469,4568,0.098734,7.243e-36,0.077933,0.215033,0.954685,0.097033,341.93,0.00,no
8,20260976803570,4568,0.091133,1.278e-30,0.071294,0.215512,0.955123,0.097839,317.56,0.00,no
9,20260976803671,4568,0.097835,3.180e-35,0.077800,0.212026,0.970884,0.095043,332.88,0.00,no
10,20260976803772,4568,0.096120,5.152e-34,0.075863,0.212651,0.960595,0.102593,360.44,0.00,no
11,20260976803873,4568,0.100445,4.179e-37,0.080143,0.213474,0.945271,0.101664,348.22,0.00,no
12,20260976803974,4568,0.104229,6.383e-40,0.084415,0.214944,0.939580,0.106383,399.37,0.00,no
13,20260976804075,4568,0.098467,1.126e-35,0.077785,0.214974,0.950963,0.105887,361.14,0.00,no
14,20260976804176,4568,0.092612,1.315e-31,0.072287,0.219075,0.950744,0.098321,336.96,0.00,no
15,20260976804277,4568,0.099661,1.554e-36,0.078722,0.212993,0.946147,0.101143,316.85,0.00,no
16,20260976804378,4568,0.101655,5.400e-38,0.080879,0.212485,0.943301,0.102258,319.93,0.00,no
17,20260976804479,4568,0.099316,2.760e-36,0.079749,0.208419,0.968476,0.098570,347.19,0.00,no
18,20260976804580,4568,0.087901,1.623e-28,0.068499,0.223207,0.969571,0.085206,337.84,0.00,yes
19,20260976804681,4568,0.101658,5.365e-38,0.082554,0.210621,0.934326,0.108650,335.61,0.00,no
20,20260976804782,4568,0.098069,2.169e-35,0.078386,0.215512,0.960595,0.099799,320.49,0.00,no
