s_AB,s_zeta
0.12759882,1.12061460
1.52494300,0.82343464
0.40866399,1.27751012
1.92968749,0.64622132
1.15269572,1.27630545
0.99834255,0.97158549
0.06187620,0.72925894
1.48907443,1.47644808
1.52938597,0.57752099
0.52974883,1.06888209
1.11120121,1.19712813
0.64220860,1.02523085
1.35293608,0.53355401
1.00537162,1.57014669
0.38593080,0.73678428
1.12170842,0.93673659
1.08505521,0.97169124
0.90378655,1.42679787
1.76222319,0.57265228
0.38023643,0.88001638
1.59521199,1.45464310
0.23241013,0.75256494
0.68795091,1.12046940
0.97730187,0.58161551
0.82931426,1.56442544
1.27932424,0.92823491
0.52466747,0.52758578
2.99801393,1.29124229
0.28642276,1.09547572
0.29284980,1.06994501
0.66451065,0.77029200
1.30552116,0.77517076
1.45423596,1.75393674
1.16644381,0.38679874
0.29940964,1.12498941
1.09959772,0.88278038
0.45685900,1.19513418
1.67152295,1.21112499
0.59446112,0.74464689
0.64025828,0.62113197
1.29397718,1.55515794
1.10705156,0.99058187
1.17193497,0.72822087
0.14229543,1.16878633
1.62909719,0.61322003
0.43194426,1.64573543
2.30919167,0.79834012
0.57185039,0.68607022
0.48249419,0.98684507
0.85099753,1.44188964
0.73065976,0.71292526
2.13594275,1.32488009
0.65346259,0.44064302
1.56741954,1.06449661
1.07063388,1.57416019
0.24298570,0.76026202
0.70720374,0.64304690
1.88635699,1.20515329
2.10421126,0.95276153
0.27092603,1.30188824
1.11969461,0.85899558
0.91945289,0.99921146
0.59087318,0.42868728
1.23469509,1.84225383
1.24131962,0.70980236
0.12340329,0.89429709
2.29799635,1.02929515
0.36930521,0.82066540
1.12132493,1.22526417
0.61672036,1.43258794
1.05868379,0.39007306
1.32536500,0.87953797
0.58706036,1.18366386
0.72838573,1.41797783
1.07678273,0.57361294
0.85982912,1.19345792
0.90437562,0.88220831
1.61864287,0.62487347
0.29336601,1.78867541
1.65757936,0.67860714
0.98806426,0.93857754
0.43161583,0.66820212
0.94750383,1.39630221
2.18329224,0.93125269
0.22202076,1.18189923
1.12213207,0.92862687
0.92094812,0.67327716
0.47795171,0.91268418
0.65785892,1.63502706
2.00975039,0.93211204
0.86913846,0.40562760
0.15594332,1.46299428
0.96725648,0.55565813
2.40202872,1.39055171
0.20871153,1.09567085
1.04607110,1.09638575
1.23328592,0.42314172
0.59453454,0.98094712
1.26163576,1.63192522
0.70047182,0.71977517
1.38102187,1.03366722
1.09942683,0.86627776
1.44364515,1.03083194
0.74822880,0.72615780
0.72402725,1.78886316
0.35171672,0.56427029
2.27414397,0.86170526
1.13122296,0.84521999
0.89015797,1.20744521
0.83297833,1.31694488
0.61559803,0.63386105
0.62205453,1.31767894
1.03297875,0.74831487
1.42599850,0.55162076
0.77719152,1.64421580
1.14291959,1.18099329
1.23098756,0.63023887
0.77700001,0.78009900
0.95242091,1.22478732
0.45608551,0.91254656
1.30290926,1.17925466
0.47143000,1.27918046
0.27178091,0.52047790
1.56367451,1.08422170
0.80916141,0.59060532
1.00596927,1.95697150
1.82043111,0.45204495
1.10373908,0.98553558
1.03231623,1.11268279
1.50273351,0.75712131
1.06641462,1.01609002
0.34797690,1.38314055
1.05130817,1.04672979
0.77786514,0.86132928
1.31609958,0.37247955
0.41710310,1.47622997
0.95785046,1.14398032
0.46317875,1.11374775
0.90103299,0.64565820
0.96834616,1.33800563
0.80558689,0.53433973
3.01614986,0.92218551
0.80248972,1.79122212
0.53890781,0.65538797
0.81471549,0.78463486
1.12262479,0.96896170
0.41145862,0.92833418
1.28904128,1.40939559
1.29600095,0.69859751
1.01415927,1.44316434
2.65654855,0.61661135
0.60926179,0.82906840
1.36649027,0.87607267
1.02078804,1.62238388
0.35593542,1.00053097
1.29702143,0.57989041
0.68409662,0.95957380
1.46634264,1.37130974
0.61711882,0.35788303
0.66237144,1.66533560
0.87827918,0.94991912
2.14271125,0.96372914
0.35902687,0.75235010
0.56973316,0.64394267
1.09437467,1.65992317
0.32692593,1.07535757
0.30110635,0.59035316
2.59741593,1.30591570
0.44582740,0.69870543
0.42958048,0.94143069
1.62435333,1.03221234
0.32061332,1.62329903
0.80461889,0.72873292
0.69748529,0.51545547
1.22928836,1.15306087
0.59218821,0.99617688
1.61483753,1.31770580
0.14466250,0.90752577
0.83186774,0.95496609
1.10347570,1.15293750
1.59595003,0.63171037
0.26380851,0.70192736
1.21607201,1.95511389
1.76422546,0.52202458
1.50780745,1.27609637
1.64760648,0.32443742
0.80324954,1.37697927
0.15479171,0.93724583
1.37996732,1.05259907
0.71701882,1.28108279
1.95350932,0.99021195
0.95591758,0.59302936
0.34343363,0.89267860
1.43051166,1.06521496
1.08190027,1.71498589
1.46747841,0.51899303
0.28412645,0.77841047
1.78085928,1.41992743
1.20117709,0.52689447
1.27922868,1.01422541
0.50676574,1.36514468
1.23859377,1.22635288
0.89233429,0.67701467
0.51673440,0.91057812
0.72743653,0.59526208
1.17310718,1.62380828
0.29423432,0.90731396
0.50087257,1.04162819
1.02710662,0.97052599
0.41809235,0.85945805
1.34088047,1.17058329
1.83779848,0.29108756
1.12528750,1.95789522
0.42375027,0.98513381
