s,F_AB,F_zeta,signed,abs
0.00,0.000000,0.000000,+0.000000,0.000000
0.01,0.000000,0.000000,+0.000000,0.000000
0.02,0.000000,0.000000,+0.000000,0.000000
0.03,0.000219,0.000000,+0.000219,0.000219
0.04,0.000219,0.000000,+0.000219,0.000219
0.05,0.000876,0.000100,+0.000776,0.000776
0.06,0.001751,0.000160,+0.001591,0.001591
0.07,0.002189,0.000180,+0.002009,0.002009
0.08,0.002846,0.000220,+0.002626,0.002626
0.09,0.003940,0.000400,+0.003540,0.003540
0.10,0.005911,0.000640,+0.005271,0.005271
0.11,0.007224,0.000820,+0.006404,0.006404
0.12,0.009632,0.001120,+0.008512,0.008512
0.13,0.011602,0.001560,+0.010042,0.010042
0.14,0.013135,0.001940,+0.011195,0.011195
0.15,0.014886,0.002320,+0.012566,0.012566
0.16,0.016856,0.002800,+0.014056,0.014056
0.17,0.019483,0.003500,+0.015983,0.015983
0.18,0.022767,0.004220,+0.018547,0.018547
0.19,0.026708,0.004980,+0.021727,0.021727
0.20,0.029116,0.005980,+0.023135,0.023135
0.21,0.031743,0.007000,+0.024742,0.024742
0.22,0.034588,0.007820,+0.026768,0.026768
0.23,0.037215,0.008920,+0.028295,0.028295
0.24,0.039405,0.010200,+0.029204,0.029204
0.25,0.043564,0.011660,+0.031904,0.031904
0.26,0.047067,0.012900,+0.034166,0.034166
0.27,0.050788,0.014660,+0.036128,0.036128
0.28,0.055385,0.016140,+0.039245,0.039245
0.29,0.059545,0.017760,+0.041784,0.041784
0.30,0.065455,0.019640,+0.045815,0.045815
0.31,0.068520,0.021920,+0.046600,0.046600
0.32,0.072680,0.023960,+0.048719,0.048719
0.33,0.077933,0.026501,+0.051433,0.051433
0.34,0.082750,0.029321,+0.053429,0.053429
0.35,0.088004,0.032201,+0.055803,0.055803
0.36,0.090849,0.034461,+0.056389,0.056389
0.37,0.095665,0.037781,+0.057885,0.057885
0.38,0.100701,0.041581,+0.059120,0.059120
0.39,0.105954,0.044961,+0.060994,0.060994
0.40,0.112522,0.048641,+0.063881,0.063881
0.41,0.117995,0.052181,+0.065814,0.065814
0.42,0.126313,0.055961,+0.070352,0.070352
0.43,0.133538,0.059901,+0.073636,0.073636
0.44,0.138354,0.063621,+0.074732,0.074732
0.45,0.144264,0.068121,+0.076143,0.076143
0.46,0.150613,0.073041,+0.077571,0.077571
0.47,0.157399,0.077562,+0.079838,0.079838
0.48,0.165061,0.082802,+0.082260,0.082260
0.49,0.172504,0.088162,+0.084343,0.084343
0.50,0.178196,0.093662,+0.084534,0.084534
0.51,0.188047,0.099102,+0.088945,0.088945
0.52,0.194177,0.105162,+0.089015,0.089015
0.53,0.199650,0.111162,+0.088488,0.088488
0.54,0.205779,0.117502,+0.088277,0.088277
0.55,0.212128,0.124762,+0.087365,0.087365
0.56,0.217601,0.131203,+0.086398,0.086398
0.57,0.223949,0.137703,+0.086246,0.086246
0.58,0.231173,0.144603,+0.086570,0.086570
0.59,0.239273,0.151723,+0.087550,0.087550
0.60,0.246060,0.158843,+0.087216,0.087216
0.61,0.252846,0.165583,+0.087263,0.087263
0.62,0.261821,0.173103,+0.088718,0.088718
0.63,0.270140,0.180164,+0.089977,0.089977
0.64,0.278459,0.187704,+0.090755,0.090755
0.65,0.287653,0.196384,+0.091269,0.091269
0.66,0.295534,0.204324,+0.091210,0.091210
0.67,0.303415,0.212544,+0.090871,0.090871
0.68,0.311077,0.221324,+0.089753,0.089753
0.69,0.318301,0.230645,+0.087657,0.087657
0.70,0.327933,0.239565,+0.088369,0.088369
0.71,0.335158,0.248705,+0.086453,0.086453
0.72,0.344133,0.257045,+0.087088,0.087088
0.73,0.351138,0.267025,+0.084113,0.084113
0.74,0.361865,0.275726,+0.086140,0.086140
0.75,0.367995,0.285346,+0.082649,0.082649
0.76,0.375219,0.294386,+0.080833,0.080833
0.77,0.384413,0.303926,+0.080487,0.080487
0.78,0.394046,0.313466,+0.080579,0.080579
0.79,0.400394,0.322906,+0.077488,0.077488
0.80,0.406743,0.332647,+0.074096,0.074096
0.81,0.415280,0.342387,+0.072893,0.072893
0.82,0.422723,0.352587,+0.070136,0.070136
0.83,0.427102,0.363147,+0.063954,0.063954
0.84,0.435639,0.372487,+0.063152,0.063152
0.85,0.440893,0.383388,+0.057506,0.057506
0.86,0.447023,0.393568,+0.053455,0.053455
0.87,0.454247,0.403848,+0.050399,0.050399
0.88,0.461471,0.414028,+0.047443,0.047443
0.89,0.468039,0.424428,+0.043610,0.043610
0.90,0.476576,0.435789,+0.040787,0.040787
0.91,0.484676,0.445469,+0.039207,0.039207
0.92,0.494089,0.455189,+0.038900,0.038900
0.93,0.501313,0.465229,+0.036084,0.036084
0.94,0.506786,0.474869,+0.031917,0.031917
0.95,0.513573,0.484470,+0.029103,0.029103
0.96,0.520578,0.494810,+0.025768,0.025768
0.97,0.526708,0.504170,+0.022537,0.022537
0.98,0.534151,0.514510,+0.019640,0.019640
0.99,0.541156,0.524510,+0.016645,0.016645
1.00,0.549256,0.534511,+0.014745,0.014745
1.01,0.555604,0.544571,+0.011033,0.011033
1.02,0.562172,0.554171,+0.008001,0.008001
1.03,0.568958,0.563511,+0.005447,0.005447
1.04,0.576620,0.573531,+0.003088,0.003088
1.05,0.584720,0.583272,+0.001448,0.001448
1.06,0.593476,0.592592,+0.000885,0.000885
1.07,0.598949,0.601352,-0.002403,0.002403
1.08,0.605298,0.611192,-0.005895,0.005895
1.09,0.614054,0.620012,-0.005958,0.005958
1.10,0.621716,0.629273,-0.007556,0.007556
1.11,0.629597,0.638053,-0.008456,0.008456
1.12,0.636384,0.646513,-0.010129,0.010129
1.13,0.643827,0.655653,-0.011826,0.011826
1.14,0.651270,0.664073,-0.012804,0.012804
1.15,0.656743,0.671693,-0.014951,0.014951
1.16,0.663091,0.679834,-0.016743,0.016743
1.17,0.666813,0.688074,-0.021261,0.021261
1.18,0.673818,0.696174,-0.022356,0.022356
1.19,0.681480,0.704274,-0.022794,0.022794
1.20,0.687172,0.712774,-0.025603,0.025603
1.21,0.693301,0.720234,-0.026933,0.026933
1.22,0.699431,0.728215,-0.028784,0.028784
1.23,0.704466,0.735775,-0.031309,0.031309
1.24,0.709282,0.743095,-0.033813,0.033813
1.25,0.713222,0.749335,-0.036113,0.036113
1.26,0.720009,0.755955,-0.035946,0.035946
1.27,0.726138,0.762375,-0.036237,0.036237
1.28,0.730517,0.768855,-0.038339,0.038339
1.29,0.735989,0.775936,-0.039946,0.039946
1.30,0.741025,0.782816,-0.041791,0.041791
1.31,0.745403,0.789056,-0.043653,0.043653
1.32,0.749343,0.796096,-0.046753,0.046753
1.33,0.754378,0.802256,-0.047878,0.047878
1.34,0.757881,0.807936,-0.050055,0.050055
1.35,0.762478,0.813876,-0.051398,0.051398
1.36,0.767513,0.819136,-0.051623,0.051623
1.37,0.772110,0.824416,-0.052306,0.052306
1.38,0.777802,0.830337,-0.052535,0.052535
1.39,0.783056,0.835957,-0.052901,0.052901
1.40,0.787653,0.841317,-0.053664,0.053664
1.41,0.792469,0.846397,-0.053928,0.053928
1.42,0.798161,0.852157,-0.053996,0.053996
1.43,0.802977,0.857237,-0.054260,0.054260
1.44,0.807356,0.862097,-0.054742,0.054742
1.45,0.810420,0.866777,-0.056357,0.056357
1.46,0.814361,0.870857,-0.056497,0.056497
1.47,0.818958,0.875458,-0.056500,0.056500
1.48,0.823555,0.879778,-0.056222,0.056222
1.49,0.827933,0.883798,-0.055864,0.055864
1.50,0.832093,0.887658,-0.055565,0.055565
1.51,0.836690,0.891258,-0.054568,0.054568
1.52,0.838879,0.895158,-0.056279,0.056279
1.53,0.841944,0.898198,-0.056254,0.056254
1.54,0.845009,0.901738,-0.056729,0.056729
1.55,0.847636,0.905118,-0.057482,0.057482
1.56,0.850263,0.908498,-0.058235,0.058235
1.57,0.852890,0.911538,-0.058649,0.058649
1.58,0.856611,0.914738,-0.058127,0.058127
1.59,0.859457,0.917898,-0.058441,0.058441
1.60,0.861865,0.920758,-0.058893,0.058893
1.61,0.865149,0.923918,-0.058770,0.058770
1.62,0.867995,0.926739,-0.058744,0.058744
1.63,0.873030,0.929179,-0.056149,0.056149
1.64,0.876095,0.931799,-0.055704,0.055704
1.65,0.879597,0.934579,-0.054981,0.054981
1.66,0.882881,0.937179,-0.054298,0.054298
1.67,0.885289,0.939559,-0.054270,0.054270
1.68,0.889011,0.941459,-0.052448,0.052448
1.69,0.891856,0.943359,-0.051502,0.051502
1.70,0.895578,0.945659,-0.050081,0.050081
1.71,0.896891,0.948099,-0.051208,0.051208
1.72,0.899518,0.950239,-0.050721,0.050721
1.73,0.901926,0.952119,-0.050193,0.050193
1.74,0.904553,0.954179,-0.049626,0.049626
1.75,0.906743,0.955979,-0.049237,0.049237
1.76,0.908275,0.957959,-0.049684,0.049684
1.77,0.911121,0.959639,-0.048518,0.048518
1.78,0.912215,0.961339,-0.049124,0.049124
1.79,0.914623,0.963179,-0.048556,0.048556
1.80,0.916813,0.964939,-0.048127,0.048127
1.81,0.919221,0.966479,-0.047259,0.047259
1.82,0.922942,0.967779,-0.044837,0.044837
1.83,0.925350,0.969419,-0.044069,0.044069
1.84,0.926883,0.970959,-0.044077,0.044077
1.85,0.927977,0.972359,-0.044382,0.044382
1.86,0.929510,0.973719,-0.044210,0.044210
1.87,0.931261,0.974819,-0.043559,0.043559
1.88,0.932574,0.975780,-0.043205,0.043205
1.89,0.934545,0.976620,-0.042075,0.042075
1.90,0.936734,0.977580,-0.040846,0.040846
1.91,0.937828,0.978700,-0.040871,0.040871
1.92,0.939142,0.979720,-0.040578,0.040578
1.93,0.940674,0.980660,-0.039985,0.039985
1.94,0.941988,0.981480,-0.039492,0.039492
1.95,0.942644,0.982320,-0.039675,0.039675
1.96,0.943520,0.983160,-0.039640,0.039640
1.97,0.944177,0.983840,-0.039663,0.039663
1.98,0.946147,0.984340,-0.038193,0.038193
1.99,0.947242,0.985020,-0.037778,0.037778
2.00,0.948774,0.985880,-0.037106,0.037106
2.01,0.950525,0.986640,-0.036114,0.036114
2.02,0.952277,0.987420,-0.035143,0.035143
2.03,0.953809,0.988080,-0.034271,0.034271
2.04,0.956655,0.988760,-0.032105,0.032105
2.05,0.957312,0.989460,-0.032148,0.032148
2.06,0.958406,0.989940,-0.031533,0.031533
2.07,0.960595,0.990520,-0.029924,0.029924
2.08,0.961690,0.991220,-0.029530,0.029530
2.09,0.964317,0.991660,-0.027343,0.027343
2.10,0.965412,0.992000,-0.026588,0.026588
2.11,0.967820,0.992360,-0.024540,0.024540
2.12,0.968914,0.992740,-0.023826,0.023826
2.13,0.971103,0.993040,-0.021937,0.021937
2.14,0.971322,0.993440,-0.022118,0.022118
2.15,0.972198,0.993960,-0.021762,0.021762
2.16,0.972855,0.994300,-0.021445,0.021445
2.17,0.973511,0.994660,-0.021149,0.021149
2.18,0.974387,0.995040,-0.020653,0.020653
2.19,0.975919,0.995240,-0.019320,0.019320
2.20,0.977014,0.995420,-0.018406,0.018406
2.21,0.977890,0.995720,-0.017830,0.017830
2.22,0.978109,0.996060,-0.017951,0.017951
2.23,0.978546,0.996200,-0.017654,0.017654
2.24,0.979203,0.996440,-0.017237,0.017237
2.25,0.979422,0.996640,-0.017218,0.017218
2.26,0.979860,0.996740,-0.016880,0.016880
2.27,0.980736,0.997020,-0.016284,0.016284
2.28,0.981392,0.997240,-0.015848,0.015848
2.29,0.981392,0.997340,-0.015948,0.015948
2.30,0.982049,0.997600,-0.015551,0.015551
2.31,0.982487,0.997780,-0.015293,0.015293
2.32,0.982706,0.997860,-0.015154,0.015154
2.33,0.983581,0.998000,-0.014419,0.014419
2.34,0.983800,0.998180,-0.014380,0.014380
2.35,0.984457,0.998280,-0.013823,0.013823
2.36,0.984895,0.998400,-0.013505,0.013505
2.37,0.985333,0.998500,-0.013167,0.013167
2.38,0.985771,0.998680,-0.012909,0.012909
2.39,0.985771,0.998700,-0.012929,0.012929
2.40,0.986427,0.998760,-0.012333,0.012333
2.41,0.986427,0.998860,-0.012433,0.012433
2.42,0.986427,0.999020,-0.012593,0.012593
2.43,0.986427,0.999060,-0.012633,0.012633
2.44,0.987303,0.999080,-0.011777,0.011777
2.45,0.987303,0.999200,-0.011897,0.011897
2.46,0.988179,0.999300,-0.011121,0.011121
2.47,0.988398,0.999460,-0.011062,0.011062
2.48,0.988616,0.999520,-0.010904,0.010904
2.49,0.989054,0.999560,-0.010506,0.010506
2.50,0.989054,0.999560,-0.010506,0.010506
2.51,0.989492,0.999640,-0.010148,0.010148
2.52,0.989930,0.999640,-0.009710,0.009710
2.53,0.990149,0.999680,-0.009531,0.009531
2.54,0.990149,0.999700,-0.009551,0.009551
2.55,0.990587,0.999700,-0.009113,0.009113
2.56,0.991243,0.999740,-0.008497,0.008497
2.57,0.991462,0.999740,-0.008278,0.008278
2.58,0.991462,0.999760,-0.008298,0.008298
2.59,0.991462,0.999820,-0.008358,0.008358
2.60,0.991900,0.999840,-0.007940,0.007940
2.61,0.992338,0.999860,-0.007522,0.007522
2.62,0.992557,0.999880,-0.007323,0.007323
2.63,0.992557,0.999880,-0.007323,0.007323
2.64,0.992776,0.999900,-0.007124,0.007124
2.65,0.993214,0.999920,-0.006706,0.006706
2.66,0.994089,0.999940,-0.005851,0.005851
2.67,0.994308,0.999940,-0.005632,0.005632
2.68,0.994527,0.999960,-0.005433,0.005433
2.69,0.994746,0.999960,-0.005214,0.005214
2.70,0.994746,0.999960,-0.005214,0.005214
2.71,0.995184,0.999960,-0.004776,0.004776
2.72,0.995184,0.999960,-0.004776,0.004776
2.73,0.995184,0.999960,-0.004776,0.004776
2.74,0.995403,0.999960,-0.004557,0.004557
2.75,0.995403,0.999960,-0.004557,0.004557
2.76,0.995841,0.999960,-0.004119,0.004119
2.77,0.996060,0.999980,-0.003920,0.003920
2.78,0.996060,0.999980,-0.003920,0.003920
2.79,0.996278,0.999980,-0.003702,0.003702
2.80,0.996278,0.999980,-0.003702,0.003702
2.81,0.996716,1.000000,-0.003284,0.003284
2.82,0.996935,1.000000,-0.003065,0.003065
2.83,0.996935,1.000000,-0.003065,0.003065
2.84,0.996935,1.000000,-0.003065,0.003065
2.85,0.997154,1.000000,-0.002846,0.002846
2.86,0.997154,1.000000,-0.002846,0.002846
2.87,0.997154,1.000000,-0.002846,0.002846
2.88,0.997154,1.000000,-0.002846,0.002846
2.89,0.997154,1.000000,-0.002846,0.002846
2.90,0.997154,1.000000,-0.002846,0.002846
2.91,0.997373,1.000000,-0.002627,0.002627
2.92,0.997373,1.000000,-0.002627,0.002627
2.93,0.997592,1.000000,-0.002408,0.002408
2.94,0.997592,1.000000,-0.002408,0.002408
2.95,0.997592,1.000000,-0.002408,0.002408
2.96,0.997592,1.000000,-0.002408,0.002408
2.97,0.997811,1.000000,-0.002189,0.002189
2.98,0.998249,1.000000,-0.001751,0.001751
2.99,0.998249,1.000000,-0.001751,0.001751
3.00,0.998687,1.000000,-0.001313,0.001313
