stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,0,0.3,0.0,0.5,open,protocol,3,96,990,0.728823,0.0,0.728823,0.728823,0.728823,1.19142,1.19316,1.25434,0.201631,0.696373,False,False,True,True,False,0.208401
A,24,0,0.3,0.5,0.5,open,protocol,3,96,1029,0.727957,0.0,0.722474,0.731845,0.732665,0.766922,0.756025,0.708246,0.269485,0.695507,False,False,False,True,False,0.211954
A,24,0,0.3,1.0,0.5,open,protocol,3,96,1029,0.727957,0.0,0.722474,0.731845,0.732665,0.766922,0.756025,0.708246,0.269485,0.695507,False,False,False,True,False,0.210882
A,24,1,0.2,0.0,0.5,open,protocol,3,96,1029,0.639757,0.0,0.631878,0.646053,0.662318,0.565612,0.555433,0.455573,0.272047,0.607307,False,False,False,True,False,0.236285
A,24,1,0.2,0.5,0.5,open,protocol,3,96,1029,0.574821,4.79273e-292,0.560927,0.563527,0.610208,0.458255,0.449712,0.346934,0.330684,0.542371,False,False,False,True,False,0.21244
A,24,1,0.2,1.0,0.5,open,protocol,3,96,1029,0.532803,5.69911e-251,0.519638,0.519826,0.578923,0.40383,0.39589,0.29286,0.332937,0.500353,False,False,False,True,False,0.216413
A,24,1,0.3,0.0,0.5,open,protocol,3,96,1029,0.569981,3.71823e-287,0.552488,0.581338,0.588357,0.459199,0.453341,0.3489,0.311373,0.537531,False,False,False,True,False,0.210815
A,24,1,0.3,0.5,0.5,open,protocol,3,96,1029,0.494667,2.1803e-216,0.483073,0.489519,0.530528,0.37148,0.363626,0.269755,0.360579,0.462217,False,False,False,True,False,0.208231
A,24,1,0.3,1.0,0.5,open,protocol,3,96,1029,0.47247,1.92657e-197,0.444158,0.456271,0.520809,0.286799,0.282683,0.191594,0.369458,0.44002,False,False,False,True,False,0.212659
A,24,1,0.5,0.0,0.5,open,protocol,3,96,1029,0.427814,5.85422e-162,0.422439,0.426591,0.463807,0.314835,0.31273,0.222564,0.368128,0.395364,False,False,False,True,False,0.240189
