stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
B(L=32),32,16,1.0,0.5,0.5,open,protocol,3,96,1839,0.0403773,0.00595099,0.0272148,0.0502652,0.0547577,0.0772117,0.072505,0.176114,0.601164,0.00731651,True,True,True,True,True,0.799928
B(L=32),32,16,0.7,1.0,0.5,open,protocol,3,96,1839,0.0296469,0.0868851,0.0287808,0.0390204,0.054033,0.0709427,0.0687352,0.174876,0.611262,-0.00341391,True,True,True,True,True,0.805225
B(L=32),32,16,0.5,1.0,0.5,open,protocol,3,96,1839,0.038204,0.0109458,0.038052,0.043127,0.0512446,0.0694135,0.0663498,0.169373,0.600247,0.00514316,True,True,True,True,True,0.795232
B(L=32),32,16,0.7,0.5,0.5,open,protocol,3,96,1839,0.0405954,0.00558765,0.0430779,0.0477524,0.063038,0.0765021,0.0657579,0.166621,0.597909,0.00753456,True,True,True,True,True,0.775234
B(L=32),32,16,1.0,0.0,0.5,open,protocol,3,96,1839,0.0477943,0.000576996,0.0434129,0.0584295,0.0797288,0.106073,0.103018,0.197578,0.594636,0.0147335,True,False,True,True,False,0.792935
B(L=32),32,12,1.0,1.0,0.5,open,protocol,3,96,1839,0.0427274,0.0029644,0.0429231,0.0430648,0.0492668,0.0839599,0.0759686,0.178316,0.589957,0.0096666,True,True,True,True,True,0.801041
B(L=32),32,8,0.7,1.0,0.5,open,protocol,3,96,1839,0.0619316,2.27673e-06,0.0552858,0.062471,0.0823862,0.0798651,0.0721211,0.160842,0.592509,0.0288708,True,True,True,True,True,0.789193
B(L=32),32,12,0.7,1.0,0.5,open,protocol,3,96,1839,0.0470671,0.000738023,0.0461929,0.0465746,0.0622111,0.0764438,0.0694639,0.168134,0.588244,0.0140063,True,True,True,True,True,0.840207
B(L=32),32,8,1.0,0.5,0.5,open,protocol,3,96,1839,0.0436881,0.00220441,0.0339908,0.039834,0.0716771,0.0818662,0.0757809,0.172675,0.595828,0.0106272,True,True,True,True,True,0.812776
B(L=32),32,12,1.0,0.5,0.5,open,protocol,3,96,1839,0.0390966,0.00855703,0.043263,0.0467354,0.0593081,0.0818591,0.0786486,0.175702,0.594358,0.00603575,True,True,True,True,True,0.80643
B(L=32),32,12,1.0,0.0,0.5,open,protocol,3,96,1839,0.0512356,0.000171026,0.0528669,0.058194,0.0630145,0.103377,0.0986809,0.187672,0.602906,0.0181748,True,False,True,True,False,0.804083
B(L=32),32,6,1.0,1.0,0.5,open,protocol,3,96,1839,0.0482218,0.000498378,0.0471663,0.0532159,0.0710092,0.0795714,0.0696858,0.167997,0.583668,0.015161,True,True,True,True,True,0.79139
B(L=32),32,16,1.0,1.0,0.5,open,protocol,3,96,1839,0.0352556,0.0237073,0.0288655,0.0374896,0.0505885,0.0814961,0.0823364,0.181893,0.597717,0.00219475,True,True,True,True,True,0.804256
B(L=32),32,6,1.0,0.5,0.5,open,protocol,3,96,1839,0.0551526,3.86619e-05,0.0545257,0.0591584,0.075873,0.0806138,0.0661239,0.159604,0.580617,0.0220918,True,True,True,True,True,0.835841
B(L=32),32,16,0.5,0.5,0.5,open,protocol,3,96,1839,0.0486121,0.0004355,0.0552877,0.0567525,0.0584727,0.0854367,0.0801446,0.176114,0.599851,0.0155513,True,True,True,True,True,0.80516
B(L=32),32,8,1.0,1.0,0.5,torus,protocol,3,96,1839,0.0579175,1.26715e-05,0.0581987,0.0601803,0.0642366,0.08814,0.0798571,0.17749,0.589826,0.0248567,True,True,True,True,True,0.798554
B(L=32),32,16,1.0,1.0,0.5,torus,protocol,3,96,1839,0.0356978,0.0211962,0.0296527,0.0461735,0.055256,0.0814772,0.0788336,0.180517,0.600853,0.00263698,True,True,True,True,True,0.808406
B(L=32),32,4,1.0,1.0,0.5,torus,protocol,3,96,1839,0.0673147,1.90168e-07,0.0602193,0.0784448,0.0829395,0.0894692,0.0825682,0.165658,0.5934,0.0342539,True,True,True,True,True,0.830549
B(L=32),32,8,1.0,1.0,0.5,open,regular,3,96,1839,0.0288241,0.103151,0.0316269,0.0367004,0.0369807,0.0941294,0.0894085,0.195515,0.626419,-0.00423671,True,True,True,True,True,0.80338
B(L=32),32,16,1.0,0.5,0.3,open,protocol,3,96,1839,0.0829085,4.45665e-11,0.0475794,0.104856,0.113351,0.108255,0.10297,0.170336,0.601251,0.0498477,True,False,True,True,False,0.810647
B(L=32),32,16,1.0,0.5,0.4,open,protocol,3,96,1839,0.0811983,1.21314e-10,0.0357317,0.0919587,0.125093,0.117246,0.111996,0.176252,0.599498,0.0481375,True,False,True,True,False,0.816468
B(L=32),32,16,1.0,0.5,0.6,open,protocol,3,96,1839,0.076607,1.60954e-09,0.0467621,0.102104,0.102405,0.114917,0.111734,0.178041,0.611097,0.0435462,True,False,True,True,False,0.800011
B(L=48),48,8,1.0,1.0,0.5,open,regular,3,96,4143,0.0504617,6.39056e-09,0.0520545,0.0543516,0.0556744,0.0644889,0.0517794,0.148612,0.590311,0.0195184,True,True,True,True,True,6.92549
B(L=48),48,16,0.7,1.0,0.5,open,protocol,3,96,4143,0.035947,9.77018e-05,0.0324984,0.0402643,0.0457934,0.0538893,0.0490782,0.15444,0.595795,0.00500374,True,True,True,True,True,6.86389
B(L=48),48,16,1.0,1.0,0.5,open,protocol,3,96,4143,0.0436983,8.5157e-07,0.0378643,0.0389041,0.0609377,0.0534449,0.0483651,0.152143,0.588356,0.012755,True,True,True,True,True,6.9333
B(L=48),48,16,1.0,1.0,0.5,torus,protocol,3,96,4143,0.032027,0.000756665,0.028165,0.0333979,0.0375247,0.05925,0.0525373,0.158179,0.599155,0.00108366,True,True,True,True,True,6.99694
B(L=48),48,16,0.5,1.0,0.5,open,protocol,3,96,4143,0.0485039,2.83115e-08,0.04758,0.0478908,0.0538141,0.0551277,0.0485258,0.14926,0.587917,0.0175606,True,True,True,True,True,7.31732
B(L=48),48,12,1.0,0.5,0.5,open,protocol,3,96,4143,0.0362931,8.06287e-05,0.0330179,0.0419847,0.0506917,0.0572899,0.0501587,0.151544,0.606534,0.00534983,True,True,True,True,True,7.05378
B(L=48),48,16,1.0,0.5,0.5,open,protocol,3,96,4143,0.0360379,9.29128e-05,0.0333956,0.0423345,0.0539539,0.0653247,0.0569083,0.158436,0.595754,0.00509462,True,True,True,True,True,7.24136
