class_idx,holonomy_label,orbit,orbit_size,Arf,phi_x/pi,phi_y/pi,r_mean_E2,r_stderr_E2,p_mc_GUE,GUE_consistent
0,100011,0,28,1,0,1,0.59682,0.00676,0.5500,PASS
1,000011,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
2,000001,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
3,100001,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
4,001111,2,7,0,0,0,0.60054,0.00194,0.9100,PASS
5,101111,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
6,101101,3,7,0,0,0,0.60054,0.00194,0.9100,PASS
7,001101,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
8,001011,3,7,0,0,1,0.59682,0.00676,0.5500,PASS
9,101011,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
10,101001,0,28,1,0,1,0.59682,0.00676,0.5500,PASS
11,001001,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
12,100111,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
13,000111,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
14,000101,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
15,100101,2,7,0,1,0,0.60271,0.00891,0.8300,PASS
16,010010,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
17,110010,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
18,110000,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
19,010000,2,7,0,0,1,0.59682,0.00676,0.5500,PASS
20,111110,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
21,011110,3,7,0,0,0,0.60054,0.00194,0.9100,PASS
22,011100,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
23,111100,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
24,111010,2,7,0,1,1,0.59348,0.00300,0.3600,PASS
25,011010,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
26,011000,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
27,111000,3,7,0,0,1,0.59682,0.00676,0.5500,PASS
28,010110,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
29,110110,1,21,0,0,0,0.60054,0.00194,0.9100,PASS
30,110100,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
31,010100,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
32,010011,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
33,110011,4,1,0,0,0,0.60054,0.00194,0.9100,PASS
34,110001,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
35,010001,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
36,111111,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
37,011111,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
38,011101,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
39,111101,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
40,111011,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
41,011011,1,21,0,0,0,0.60054,0.00194,0.9100,PASS
42,011001,2,7,0,1,0,0.60271,0.00891,0.8300,PASS
43,111001,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
44,010111,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
45,110111,1,21,0,0,1,0.59682,0.00676,0.5500,PASS
46,110101,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
47,010101,3,7,0,0,1,0.59682,0.00676,0.5500,PASS
48,100010,1,21,0,0,0,0.60054,0.00194,0.9100,PASS
49,000010,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
50,000000,3,7,0,0,0,0.60054,0.00194,0.9100,PASS
51,100000,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
52,001110,0,28,1,0,1,0.59682,0.00676,0.5500,PASS
53,101110,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
54,101100,2,7,0,0,1,0.59682,0.00676,0.5500,PASS
55,001100,0,28,1,1,1,0.59348,0.00300,0.3600,PASS
56,001010,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
57,101010,1,21,0,1,0,0.60271,0.00891,0.8300,PASS
58,101000,0,28,1,0,0,0.60054,0.00194,0.9100,PASS
59,001000,0,28,1,1,0,0.60271,0.00891,0.8300,PASS
60,100110,3,7,0,0,1,0.59682,0.00676,0.5500,PASS
61,000110,2,7,0,1,1,0.59348,0.00300,0.3600,PASS
62,000100,0,28,1,0,1,0.59682,0.00676,0.5500,PASS
63,100100,1,21,0,1,1,0.59348,0.00300,0.3600,PASS
